NEEDARRIVDATE|CNT->|CNT_M|CNT_U|CNT_NE|CNT_DM|CNT_DU|CNT_DNE|QTY->|QTY_M|QTY_U|QTY_NE|QTY_DM|QTY_DU|QTY_DN|TOTALS->  |TOT_ORD_CNT|TOT_DEL_CNT|TOT_ORD_QTY|TOT_DEL_QTY|Percent->|PERCENT_CNT|PERCENT_QTY|MET INFO=>|CO_CNT|PA_CNT|CO_QTY|PA_QTY|DEL_CNT|PD_CNT|DEL_QTY|PD_QTY|%MET INFO=>|%CO_MET|%CO_QTY_MET|%DEL_MET|%DELQTY_MET
23-FEB-16||1|0|0|935|167|90||540|0|0|511111|93052|47172||1|1192|540|651335||86|85.7||1|1|540|540|1981|1192|1067243|651335||100|100|60.17|61.03
24-FEB-16||1|3|0|1366|266|167||570|1710|0|760240|148625|89458||4|1799|2280|998323||85.1|85||5|4|2850|2280|1967|1799|1088366|998323||80|80|91.46|91.73
25-FEB-16||363|409|70|768|150|137||199392|223927|37070|429034|84512|75630||842|1055|460389|589176||70.5|70.6||924|842|505735|460389|1128|1055|627631|589176||91.13|91.03|93.53|93.87
26-FEB-16||522|473|86|516|87|106||289497|262671|47882|288842|49027|59398||1081|709|600050|397267||68.7|68.7||1143|1081|635100|600050|755|709|421499|397267||94.58|94.48|93.91|94.25
27-FEB-16||68|73|5|178|8|38||37794|41400|2850|101460|4530|21600||146|224|82044|127590||78.1|78.1||256|146|144012|82044|282|224|159550|127590||57.03|56.97|79.43|79.97
28-FEB-16||33|18|7|30|0|2||18810|10260|3990|17100|0|1080||58|32|33060|18180||80|80||226|58|127244|33060|39|32|22170|18180||25.66|25.98|82.05|82
29-FEB-16||802|389|128|108|3|41||452161|219018|71400|59826|1240|17124||1319|152|742579|78190||73.4|73.2||1375|1319|774384|742579|157|152|80845|78190||95.93|95.89|96.82|96.72
01-MAR-16||704|337|113|83|2|4||397299|189170|63918|45418|1012|1995||1154|89|650387|48425||72.7|72.8||1180|1154|664907|650387|91|89|49565|48425||97.8|97.82|97.8|97.7
02-MAR-16||765|320|112|82|2|4||431860|180604|63558|45412|1140|2280||1197|88|676022|48832||74.9|74.9||1215|1196|686282|675452|93|88|51506|48832||98.44|98.42|94.62|94.81
03-MAR-16||732|294|107|81|2|4||413105|165674|60750|44560|1012|2242||1133|87|639529|47814||75.7|75.7||1157|1133|652789|639529|91|87|50094|47814||97.93|97.97|95.6|95.45
04-MAR-16||786|262|120|72|1|3||441927|146653|67238|40664|570|1672||1168|76|655818|42906||78.9|78.9||1190|1168|668758|655818|81|76|45330|42906||98.15|98.07|93.83|94.65
05-MAR-16||187|103|39|29|0|1||106434|58320|22110|16360|0|570||329|30|186864|16930||71.3|71.4||390|329|221568|186864|39|30|22060|16930||84.36|84.34|76.92|76.75
06-MAR-16||31|20|3|3|0|0||17640|10950|1590|1710|0|0||54|3|30180|1710||64.9|65.7||75|54|42084|30180|3|3|1710|1710||72|71.71|100|100
07-MAR-16||156|67|26|18|1|4||87588|37100|14580|9332|442|2000||249|23|139268|11774||75|75.1||254|249|142118|139268|26|23|13376|11774||98.03|97.99|88.46|88.02
